,Hours,NO1,NO2,NO3,NO4,NO5,NO
18-07-2020,14 - 15,2650,3376,2377,1682,1568,11652
18-07-2020,15 - 16,2652,3460,2394,1649,1571,11726
18-07-2020,16 - 17,2687,3537,2349,1676,1561,11809
18-07-2020,17 - 18,2699,3602,2420,1710,1579,12011
18-07-2020,18 - 19,2696,3613,2350,1707,1593,11960
18-07-2020,19 - 20,2678,3513,2349,1691,1574,11804
18-07-2020,20 - 21,2591,3522,2296,1639,1566,11613
18-07-2020,21 - 22,2519,3470,2364,1815,1554,11721
18-07-2020,22 - 23,2458,3356,2400,1666,1523,11403
18-07-2020,23 - 00,2372,3269,2352,1600,1507,11100
19-07-2020,00 - 01,2239,3227,2252,1554,1498,10770
19-07-2020,01 - 02,2129,3116,2230,1537,1481,10492
19-07-2020,02 - 03,2060,3043,2234,1500,1449,10285
19-07-2020,03 - 04,2015,3001,2223,1436,1453,10128
19-07-2020,04 - 05,1937,3037,2195,1452,1457,10078
19-07-2020,05 - 06,1876,3027,2207,1470,1425,10005
19-07-2020,06 - 07,1950,3112,2332,1514,1418,10325
19-07-2020,07 - 08,2026,3144,2631,1564,1435,10800
19-07-2020,08 - 09,2093,3142,2710,1592,1480,11016
19-07-2020,09 - 10,2270,3289,2563,1654,1532,11306
19-07-2020,10 - 11,2418,3320,2646,1695,1540,11618
19-07-2020,11 - 12,2472,3342,2848,1740,1559,11961
19-07-2020,12 - 13,2501,3335,2781,1733,1576,11927
19-07-2020,13 - 14,2516,3353,2696,1710,1567,11841
19-07-2020,14 - 15,2545,3415,2656,1740,1559,11915
19-07-2020,15 - 16,2559,3464,2687,1735,1570,12016
19-07-2020,16 - 17,2586,3380,2738,1719,1565,11988
19-07-2020,17 - 18,2622,3350,2781,1790,1514,12058
19-07-2020,18 - 19,2667,3330,2382,1746,1571,11696
19-07-2020,19 - 20,2672,3368,2384,1718,1574,11715
19-07-2020,20 - 21,2623,3344,2435,1747,1555,11704
19-07-2020,21 - 22,2571,3316,2431,1751,1542,11610
19-07-2020,22 - 23,2548,3287,2421,1732,1540,11528
19-07-2020,23 - 00,2469,3287,2404,1701,1538,11399
20-07-2020,00 - 01,2313,3191,2388,1656,1497,11044
20-07-2020,01 - 02,2207,3139,2336,1646,1471,10799
20-07-2020,02 - 03,2118,3164,2279,1610,1442,10613
20-07-2020,03 - 04,2113,3174,2290,1588,1467,10633
20-07-2020,04 - 05,2093,3147,2305,1600,1492,10637
20-07-2020,05 - 06,2129,3122,2311,1617,1525,10705
20-07-2020,06 - 07,2298,3218,2384,1666,1584,11150
20-07-2020,07 - 08,2533,3438,2518,1717,1637,11843
20-07-2020,08 - 09,2707,3596,2618,1802,1677,12399
20-07-2020,09 - 10,2826,3675,2639,1831,1725,12695
20-07-2020,10 - 11,2898,3675,2639,1830,1740,12781
20-07-2020,11 - 12,2891,3641,2632,1933,1738,12835
20-07-2020,12 - 13,2898,3667,2648,1865,1739,12815
20-07-2020,13 - 14,2869,3604,2625,1847,1724,12667
20-07-2020,14 - 15,2858,3521,2603,1821,1703,12506
20-07-2020,15 - 16,2830,3433,2605,1816,1737,12421
20-07-2020,16 - 17,2781,3406,2607,1800,1709,12304
20-07-2020,17 - 18,2759,3421,2537,1761,1687,12166
20-07-2020,18 - 19,2696,3330,2468,1769,1685,11948
20-07-2020,19 - 20,2665,3337,2482,1734,1696,11913
20-07-2020,20 - 21,2644,3334,2494,1737,1709,11916
20-07-2020,21 - 22,2621,3308,2350,1719,1683,11681
20-07-2020,22 - 23,2572,3367,2407,1695,1669,11710
20-07-2020,23 - 00,2466,3370,2473,1670,1645,11624
21-07-2020,00 - 01,2326,3232,2377,1598,1617,11149
21-07-2020,01 - 02,2182,3116,2226,1567,1530,10621
21-07-2020,02 - 03,2107,3031,2294,1552,1502,10486
21-07-2020,03 - 04,2093,3050,2356,1564,1504,10566
21-07-2020,04 - 05,2078,3126,2348,1561,1483,10596
21-07-2020,05 - 06,2133,3117,2373,1580,1455,10657
21-07-2020,06 - 07,2330,3208,2354,1613,1508,11012
21-07-2020,07 - 08,2543,3362,2465,1669,1554,11592
21-07-2020,08 - 09,2700,3422,2560,1752,1610,12043
21-07-2020,09 - 10,2848,3415,2614,1790,1640,12308
21-07-2020,10 - 11,2943,3495,2585,1830,1658,12511
21-07-2020,11 - 12,2963,3527,2610,1810,1643,12553
21-07-2020,12 - 13,2926,3507,2612,1768,1610,12422
21-07-2020,13 - 14,2866,3460,2519,1816,1566,12226
21-07-2020,14 - 15,2883,3512,2601,1815,1611,12422
21-07-2020,15 - 16,2892,3357,2610,1820,1604,12284
21-07-2020,16 - 17,2834,3376,2527,1805,1627,12168
21-07-2020,17 - 18,2797,3403,2557,1778,1612,12146
21-07-2020,18 - 19,2761,3321,2685,1793,1659,12219
21-07-2020,19 - 20,2756,3290,2684,1820,1645,12195
21-07-2020,20 - 21,2710,3331,2640,1787,1655,12122
21-07-2020,21 - 22,2689,3441,2502,1771,1623,12026
21-07-2020,22 - 23,2662,3452,2469,1741,1606,11930
21-07-2020,23 - 00,2571,3423,2504,1652,1595,11745
22-07-2020,00 - 01,2446,3372,2507,1616,1572,11513
22-07-2020,01 - 02,2339,3224,2490,1606,1549,11208
22-07-2020,02 - 03,2269,3200,2548,1557,1522,11096
22-07-2020,03 - 04,2232,3153,2339,1549,1533,10806
22-07-2020,04 - 05,2178,3171,2316,1566,1553,10784
22-07-2020,05 - 06,2212,3211,2331,1593,1572,10918
22-07-2020,06 - 07,2354,3331,2400,1641,1631,11357
22-07-2020,07 - 08,2568,3507,2526,1689,1683,11973
22-07-2020,08 - 09,2686,3561,2638,1712,1717,12313
22-07-2020,09 - 10,2782,3658,2713,1747,1762,12661
22-07-2020,10 - 11,2838,3713,2700,1782,1794,12827
22-07-2020,11 - 12,2845,3651,2686,1797,1803,12782
22-07-2020,12 - 13,2850,3569,2652,1829,1790,12689
22-07-2020,13 - 14,2807,3531,2603,1798,1780,12519
22-07-2020,14 - 15,2783,3526,2635,1785,1760,12489
22-07-2020,15 - 16,2811,3557,2671,1789,1763,12591
22-07-2020,16 - 17,2859,3549,2662,1773,1754,12596
22-07-2020,17 - 18,2827,3491,2623,1786,1749,12476
22-07-2020,18 - 19,2784,3476,2601,1760,1763,12384
22-07-2020,19 - 20,2757,3437,2572,1765,1714,12245
22-07-2020,20 - 21,2701,3405,2583,1758,1710,12156
22-07-2020,21 - 22,2662,3430,2590,1739,1625,12045
22-07-2020,22 - 23,2640,3409,2551,1687,1634,11920
22-07-2020,23 - 00,2546,3376,2534,1651,1661,11767
23-07-2020,00 - 01,2393,3221,2500,1689,1618,11421
23-07-2020,01 - 02,2272,3136,2351,1595,1600,10954
23-07-2020,02 - 03,2205,3102,2400,1590,1571,10868
23-07-2020,03 - 04,2208,3111,2359,1591,1566,10834
23-07-2020,04 - 05,2177,3123,2268,1538,1574,10680
23-07-2020,05 - 06,2246,3128,2215,1604,1583,10777
23-07-2020,06 - 07,2412,3249,2392,1689,1642,11383
23-07-2020,07 - 08,2619,3364,2636,1820,1696,12134
23-07-2020,08 - 09,2761,3474,2703,1890,1749,12576
23-07-2020,09 - 10,2825,3538,2704,1928,1770,12765
23-07-2020,10 - 11,2913,3604,2710,1976,1780,12982
23-07-2020,11 - 12,2882,3582,2778,1978,1757,12977
23-07-2020,12 - 13,2869,3511,2760,1989,1749,12877
23-07-2020,13 - 14,2815,3478,2672,1985,1745,12696
23-07-2020,14 - 15,2766,3463,2690,1958,1731,12608
23-07-2020,15 - 16,2745,3466,2639,1932,1712,12494
23-07-2020,16 - 17,2764,3469,2616,1931,1687,12468
23-07-2020,17 - 18,2731,3487,2590,1900,1681,12389
23-07-2020,18 - 19,2693,3500,2654,1907,1682,12436
23-07-2020,19 - 20,2653,3512,2631,1923,1701,12419
23-07-2020,20 - 21,2623,3475,2599,1924,1718,12339
23-07-2020,21 - 22,2606,3429,2548,1901,1706,12190
23-07-2020,22 - 23,2596,3393,2545,1862,1708,12104
23-07-2020,23 - 00,2515,3254,2504,1812,1697,11782
24-07-2020,00 - 01,2364,3104,2480,1811,1616,11376
24-07-2020,01 - 02,2253,3009,2338,1754,1584,10938
24-07-2020,02 - 03,2209,2912,2259,1713,1560,10652
24-07-2020,03 - 04,2196,2901,2297,1713,1550,10657
24-07-2020,04 - 05,2178,2916,2287,1731,1537,10650
24-07-2020,05 - 06,2202,2889,2365,1755,1522,10733
24-07-2020,06 - 07,2372,3053,2350,1780,1567,11122
24-07-2020,07 - 08,2554,3352,2515,1834,1628,11884
24-07-2020,08 - 09,2755,3514,2620,1877,1683,12450
24-07-2020,09 - 10,2914,3616,2708,1884,1709,12830
24-07-2020,10 - 11,2966,3715,2767,1897,1717,13063
24-07-2020,11 - 12,2950,3687,2747,1880,1716,12980
24-07-2020,12 - 13,2920,3589,2684,1827,1723,12742
24-07-2020,13 - 14,2868,3502,2635,1786,1693,12485
24-07-2020,14 - 15,2826,3441,2634,1767,1669,12337
24-07-2020,15 - 16,2781,3416,2641,1719,1655,12211
24-07-2020,16 - 17,2755,3424,2603,1700,1640,12123
24-07-2020,17 - 18,2713,3375,2666,1704,1635,12094
24-07-2020,18 - 19,2706,3372,2606,1733,1625,12041
24-07-2020,19 - 20,2689,3354,2560,1756,1626,11984
24-07-2020,20 - 21,2623,3334,2594,1777,1615,11942
24-07-2020,21 - 22,2569,3330,2492,1775,1612,11778
24-07-2020,22 - 23,2572,3356,2570,1765,1582,11845
24-07-2020,23 - 00,2497,3272,2549,1730,1567,11615
25-07-2020,00 - 01,2347,3178,2492,1713,1537,11268
25-07-2020,01 - 02,2233,3092,2461,1674,1512,10971
25-07-2020,02 - 03,2174,3052,2385,1661,1480,10752
25-07-2020,03 - 04,2140,3043,2357,1639,1459,10638
25-07-2020,04 - 05,2109,3018,2302,1589,1449,10467
25-07-2020,05 - 06,2078,3010,2299,1522,1413,10321
25-07-2020,06 - 07,2103,3024,2387,1538,1417,10467
25-07-2020,07 - 08,2190,3114,2417,1622,1438,10781
25-07-2020,08 - 09,2289,3194,2479,1698,1481,11141
25-07-2020,09 - 10,2487,3310,2590,1745,1539,11671
25-07-2020,10 - 11,2586,3337,2603,1761,1540,11826
25-07-2020,11 - 12,2600,3334,2595,1755,1532,11815
25-07-2020,12 - 13,2584,3317,2552,1778,1521,11752
25-07-2020,13 - 14,2554,3282,2535,1791,1500,11662
25-07-2020,14 - 15,2540,3225,2503,1794,1494,11555
25-07-2020,15 - 16,2536,3180,2535,1762,1497,11510
25-07-2020,16 - 17,2551,3187,2528,1706,1485,11457
25-07-2020,17 - 18,2582,3288,2504,1722,1502,11598
25-07-2020,18 - 19,2594,3335,2506,1704,1511,11651
25-07-2020,19 - 20,2573,3233,2485,1687,1529,11507
25-07-2020,20 - 21,2510,3245,2501,1671,1486,11413
25-07-2020,21 - 22,2484,3338,2517,1695,1480,11514
25-07-2020,22 - 23,2495,3376,2501,1669,1472,11511
25-07-2020,23 - 00,2415,3204,2492,1650,1467,11228
26-07-2020,00 - 01,2264,3104,2440,1655,1432,10895
26-07-2020,01 - 02,2153,3088,2382,1564,1399,10586
26-07-2020,02 - 03,2089,3066,2371,1507,1376,10409
26-07-2020,03 - 04,2047,3077,2356,1588,1363,10431
26-07-2020,04 - 05,2020,2977,2344,1593,1357,10292
26-07-2020,05 - 06,1981,2886,2325,1595,1345,10133
26-07-2020,06 - 07,1974,2794,2225,1549,1336,9877
26-07-2020,07 - 08,2042,2964,2206,1552,1364,10128
26-07-2020,08 - 09,2182,3206,2253,1565,1394,10599
26-07-2020,09 - 10,2347,3451,2247,1601,1454,11100
26-07-2020,10 - 11,2490,3498,2333,1624,1451,11396
26-07-2020,11 - 12,2570,3529,2360,1629,1489,11578
26-07-2020,12 - 13,2634,3544,2496,1589,1530,11793
26-07-2020,13 - 14,2659,3569,2360,1531,1468,11586
26-07-2020,14 - 15,2692,3497,2370,1516,1472,11547
26-07-2020,15 - 16,2704,3351,2368,1518,1463,11405
26-07-2020,16 - 17,2772,3381,2439,1522,1493,11606
26-07-2020,17 - 18,2788,3358,2388,1546,1531,11611
26-07-2020,18 - 19,2788,3373,2393,1554,1509,11616
26-07-2020,19 - 20,2768,3301,2417,1560,1493,11539
26-07-2020,20 - 21,2733,3241,2447,1579,1477,11478
26-07-2020,21 - 22,2691,3172,2384,1557,1454,11259
26-07-2020,22 - 23,2623,3299,2343,1577,1469,11311
26-07-2020,23 - 00,2477,3291,2281,1602,1465,11116
27-07-2020,00 - 01,2332,3100,2174,1583,1379,10568
27-07-2020,01 - 02,2213,2871,2116,1492,1332,10022
27-07-2020,02 - 03,2153,2933,2064,1480,1324,9953
27-07-2020,03 - 04,2151,2992,2069,1410,1327,9948
27-07-2020,04 - 05,2104,2931,1948,1481,1340,9804
27-07-2020,05 - 06,2125,3009,2151,1596,1345,10226
27-07-2020,06 - 07,2319,3229,2220,1591,1379,10737
27-07-2020,07 - 08,2558,3287,2280,1600,1453,11178
27-07-2020,08 - 09,2711,3459,2465,1674,1461,11768
27-07-2020,09 - 10,2849,3540,2589,1718,1545,12240
27-07-2020,10 - 11,2918,3571,2631,1745,1475,12339
27-07-2020,11 - 12,2946,3411,2596,1734,1533,12220
27-07-2020,12 - 13,2962,3485,2563,1698,1543,12250
27-07-2020,13 - 14,2935,3478,2535,1689,1551,12187
27-07-2020,14 - 15,2912,3562,2539,1754,1553,12319
27-07-2020,15 - 16,2907,3416,2499,1818,1552,12192
27-07-2020,16 - 17,2931,3538,2516,1781,1554,12319
27-07-2020,17 - 18,2915,3552,2453,1759,1552,12232
27-07-2020,18 - 19,2892,3601,2391,1725,1554,12162
27-07-2020,19 - 20,2837,3494,2395,1740,1544,12011
27-07-2020,20 - 21,2788,3394,2373,1790,1533,11878
27-07-2020,21 - 22,2756,3370,2347,1802,1585,11861
27-07-2020,22 - 23,2729,3393,2384,1753,1538,11796
27-07-2020,23 - 00,2564,3209,2362,1727,1550,11412
28-07-2020,00 - 01,2368,3162,2269,1579,1413,10792
28-07-2020,01 - 02,2234,3104,2241,1567,1405,10550
28-07-2020,02 - 03,2185,3059,2175,1577,1382,10378
28-07-2020,03 - 04,2151,2978,2150,1583,1358,10220
28-07-2020,04 - 05,2117,2956,2125,1579,1347,10122
28-07-2020,05 - 06,2172,2976,2186,1584,1347,10264
28-07-2020,06 - 07,2386,3127,2237,1621,1388,10759
28-07-2020,07 - 08,2623,3409,2303,1635,1534,11504
28-07-2020,08 - 09,2792,3468,2442,1630,1619,11951
28-07-2020,09 - 10,2952,3478,2473,1657,1493,12053
28-07-2020,10 - 11,3058,3625,2478,1623,1556,12340
28-07-2020,11 - 12,3096,3705,2501,1663,1615,12580
28-07-2020,12 - 13,3095,3720,2433,1707,1598,12553
28-07-2020,13 - 14,3098,3517,2448,1718,1603,12384
28-07-2020,14 - 15,3120,3468,2365,1636,1588,12176
28-07-2020,15 - 16,3125,3484,2451,1641,1594,12295
28-07-2020,16 - 17,3119,3522,2461,1631,1581,12313
28-07-2020,17 - 18,3081,3514,2360,1623,1576,12153
28-07-2020,18 - 19,2982,3458,2274,1624,1577,11914
28-07-2020,19 - 20,2951,3499,2279,1683,1554,11965
28-07-2020,20 - 21,2880,3546,2336,1652,1547,11961
28-07-2020,21 - 22,2797,3469,2330,1584,1525,11703
28-07-2020,22 - 23,2801,3431,2294,1588,1500,11615
28-07-2020,23 - 00,2670,3260,2243,1521,1503,11196
29-07-2020,00 - 01,2492,3088,2203,1475,1488,10747
29-07-2020,01 - 02,2381,2967,2184,1497,1473,10502
29-07-2020,02 - 03,2302,2820,2167,1513,1453,10254
29-07-2020,03 - 04,2276,2815,2128,1445,1448,10112
29-07-2020,04 - 05,2266,2973,2196,1454,1445,10333
29-07-2020,05 - 06,2288,3063,2144,1512,1442,10450
29-07-2020,06 - 07,2514,3025,2179,1588,1506,10812
29-07-2020,07 - 08,2769,3117,2315,1715,1547,11463
29-07-2020,08 - 09,2968,3269,2461,1745,1605,12048
29-07-2020,09 - 10,3114,3610,2616,1764,1639,12742
29-07-2020,10 - 11,3196,3644,2551,1761,1629,12780
29-07-2020,11 - 12,3225,3577,2686,1735,1678,12900
29-07-2020,12 - 13,3232,3489,2567,1724,1669,12681
29-07-2020,13 - 14,3170,3555,2498,1738,1634,12595
29-07-2020,14 - 15,3119,3553,2485,1728,1635,12519
29-07-2020,15 - 16,3090,3626,2439,1725,1660,12540
29-07-2020,16 - 17,3074,3581,2471,1796,1682,12604
29-07-2020,17 - 18,3031,3515,2366,1762,1660,12333
29-07-2020,18 - 19,2974,3521,2399,1751,1615,12260
29-07-2020,19 - 20,2854,3612,2371,1743,1605,12185
29-07-2020,20 - 21,2845,3591,2375,1731,1613,12154
29-07-2020,21 - 22,2851,3548,2384,1713,1660,12155
29-07-2020,22 - 23,2825,3501,2343,1731,1644,12044
29-07-2020,23 - 00,2679,3405,2295,1676,1575,11630
30-07-2020,00 - 01,2524,3337,2226,1592,1558,11236
30-07-2020,01 - 02,2367,3181,2217,1552,1571,10889
30-07-2020,02 - 03,2275,3068,2183,1545,1520,10590
30-07-2020,03 - 04,2247,3037,2203,1526,1495,10508
30-07-2020,04 - 05,2216,3099,2201,1474,1514,10503
30-07-2020,05 - 06,2236,3181,2180,1495,1602,10695
30-07-2020,06 - 07,2425,3395,2224,1509,1578,11132
30-07-2020,07 - 08,2665,3612,2363,1624,1643,11906
30-07-2020,08 - 09,2840,3697,2479,1673,1712,12400
30-07-2020,09 - 10,2961,3720,2495,1680,1756,12611
30-07-2020,10 - 11,3003,3756,2501,1722,1809,12790
30-07-2020,11 - 12,2987,3814,2492,1761,1779,12833
30-07-2020,12 - 13,2997,3763,2500,1702,1762,12723
30-07-2020,13 - 14,2971,3810,2500,1710,1762,12753
30-07-2020,14 - 15,2967,3751,2520,1661,1764,12663
30-07-2020,15 - 16,2925,3718,2505,1637,1732,12516
30-07-2020,16 - 17,2936,3792,2462,1641,1719,12549
30-07-2020,17 - 18,2910,3745,2446,1700,1702,12502
30-07-2020,18 - 19,2877,3665,2484,1722,1687,12434
30-07-2020,19 - 20,2823,3634,2454,1723,1689,12324
30-07-2020,20 - 21,2771,3695,2451,1726,1682,12325
30-07-2020,21 - 22,2737,3455,2480,1695,1664,12031
30-07-2020,22 - 23,2711,3436,2422,1677,1654,11900
30-07-2020,23 - 00,2550,3326,2372,1693,1599,11541
31-07-2020,00 - 01,2368,3267,2293,1634,1572,11134
31-07-2020,01 - 02,2240,3201,2266,1589,1510,10806
31-07-2020,02 - 03,2200,3095,2254,1538,1567,10654
31-07-2020,03 - 04,2152,3041,2323,1533,1520,10568
31-07-2020,04 - 05,2144,3005,2256,1549,1497,10452
31-07-2020,05 - 06,2143,3053,2244,1561,1508,10509
31-07-2020,06 - 07,2352,3211,2331,1592,1548,11032
31-07-2020,07 - 08,2580,3420,2453,1633,1571,11657
31-07-2020,08 - 09,2735,3550,2496,1720,1606,12107
31-07-2020,09 - 10,2876,3627,2585,1756,1637,12482
31-07-2020,10 - 11,2958,3602,2632,1792,1624,12607
31-07-2020,11 - 12,2970,3579,2620,1731,1634,12534
31-07-2020,12 - 13,2966,3518,2603,1726,1615,12427
31-07-2020,13 - 14,2933,3519,2585,1758,1606,12400
31-07-2020,14 - 15,2882,3480,2579,1785,1595,12320
31-07-2020,15 - 16,2852,3382,2541,1738,1566,12079
31-07-2020,16 - 17,2832,3352,2541,1752,1553,12029
31-07-2020,17 - 18,2789,3337,2511,1770,1540,11947
31-07-2020,18 - 19,2758,3389,2482,1759,1529,11917
31-07-2020,19 - 20,2717,3372,2445,1761,1529,11824
31-07-2020,20 - 21,2665,3346,2440,1759,1507,11717
31-07-2020,21 - 22,2611,3304,2396,1742,1496,11549
31-07-2020,22 - 23,2602,3303,2397,1731,1498,11531
31-07-2020,23 - 00,2495,3154,2390,1737,1487,11263
1/8/20,00 - 01,2367,3008,2351,1694,1444,10862
1/8/20,01 - 02,2228,3008,2344,1627,1387,10593
1/8/20,02 - 03,2139,2976,2318,1615,1396,10444
1/8/20,03 - 04,2091,2930,2263,1598,1407,10288
1/8/20,04 - 05,2054,2906,2233,1601,1402,10196
1/8/20,05 - 06,1994,2914,2165,1598,1376,10046
1/8/20,06 - 07,2037,2965,2158,1620,1393,10173
1/8/20,07 - 08,2123,3098,2225,1651,1420,10516
1/8/20,08 - 09,2289,3242,2303,1691,1447,10972
1/8/20,09 - 10,2467,3439,2385,1728,1499,11519
1/8/20,10 - 11,2594,3410,2416,1767,1521,11708
1/8/20,11 - 12,2630,3333,2428,1761,1499,11651
1/8/20,12 - 13,2642,3302,2418,1719,1482,11563
1/8/20,13 - 14,2596,3333,2408,1719,1485,11542
1/8/20,14 - 15,2587,3515,2392,1716,1483,11692
1/8/20,15 - 16,2588,3561,2378,1707,1490,11724
1/8/20,16 - 17,2594,3492,2364,1703,1500,11653
1/8/20,17 - 18,2604,3345,2351,1696,1531,11527
1/8/20,18 - 19,2622,3355,2358,1701,1539,11574
1/8/20,19 - 20,2594,3347,2354,1703,1534,11532
1/8/20,20 - 21,2562,3199,2352,1704,1528,11346
1/8/20,21 - 22,2536,3169,2304,1693,1526,11228
1/8/20,22 - 23,2543,3172,2337,1686,1522,11259
1/8/20,23 - 00,2427,3185,2354,1661,1494,11121
2/8/20,00 - 01,2295,3091,2323,1638,1468,10815
2/8/20,01 - 02,2174,3087,2271,1624,1442,10598
2/8/20,02 - 03,2091,3070,2238,1594,1418,10410
2/8/20,03 - 04,2036,3056,2224,1569,1407,10292
2/8/20,04 - 05,2006,3049,2220,1568,1402,10245
2/8/20,05 - 06,1937,3019,2172,1563,1411,10102
2/8/20,06 - 07,1943,2971,2173,1543,1423,10052
2/8/20,07 - 08,1998,2891,2195,1576,1443,10103
2/8/20,08 - 09,2123,3024,2252,1616,1465,10480
2/8/20,09 - 10,2297,3241,2284,1658,1507,10986
2/8/20,10 - 11,2469,3377,2353,1664,1561,11425
2/8/20,11 - 12,2599,3406,2364,1687,1579,11634
2/8/20,12 - 13,2657,3323,2374,1677,1598,11628
2/8/20,13 - 14,2671,3313,2384,1690,1606,11665
2/8/20,14 - 15,2699,3334,2414,1748,1611,11806
2/8/20,15 - 16,2725,3351,2396,1712,1588,11772
2/8/20,16 - 17,2752,3351,2395,1705,1591,11795
2/8/20,17 - 18,2754,3284,2385,1705,1593,11721
2/8/20,18 - 19,2744,3340,2368,1702,1628,11783
2/8/20,19 - 20,2761,3392,2313,1747,1629,11841
2/8/20,20 - 21,2725,3344,2344,1710,1624,11746
2/8/20,21 - 22,2707,3305,2429,1706,1610,11757
2/8/20,22 - 23,2686,3288,2414,1671,1596,11655
2/8/20,23 - 00,2520,3241,2370,1613,1555,11299
3/8/20,00 - 01,2358,3145,2274,1613,1528,10916
3/8/20,01 - 02,2243,3120,2152,1588,1484,10587
3/8/20,02 - 03,2188,3079,2180,1576,1461,10483
3/8/20,03 - 04,2183,3076,2323,1556,1458,10596
3/8/20,04 - 05,2234,3074,2267,1564,1456,10595
3/8/20,05 - 06,2282,3050,2213,1555,1471,10570
3/8/20,06 - 07,2528,3170,2329,1618,1537,11181
3/8/20,07 - 08,2862,3470,2499,1783,1660,12275
3/8/20,08 - 09,3076,3717,2625,1808,1698,12924
3/8/20,09 - 10,3143,3700,2679,1822,1726,13071
3/8/20,10 - 11,3178,3718,2729,1772,1758,13155
3/8/20,11 - 12,3202,3524,2593,1806,1769,12894
3/8/20,12 - 13,3185,3599,2536,1822,1784,12925
3/8/20,13 - 14,3162,3618,2541,1791,1712,12823
3/8/20,14 - 15,3153,3580,2590,1777,1703,12803
3/8/20,15 - 16,3125,3467,2628,1799,1715,12733
3/8/20,16 - 17,3117,3449,2644,1899,1712,12820
3/8/20,17 - 18,3082,3473,2633,1893,1683,12764
3/8/20,18 - 19,3020,3484,2711,1860,1669,12744
3/8/20,19 - 20,2960,3467,2614,1839,1661,12541
3/8/20,20 - 21,2958,3502,2468,1857,1654,12439
3/8/20,21 - 22,2955,3516,2558,1864,1651,12544
3/8/20,22 - 23,2901,3523,2532,1842,1653,12452
3/8/20,23 - 00,2682,3416,2456,1826,1645,12026
4/8/20,00 - 01,2506,3252,2426,1652,1598,11434
4/8/20,01 - 02,2359,3184,2319,1622,1555,11039
4/8/20,02 - 03,2305,3135,2276,1584,1528,10827
4/8/20,03 - 04,2262,3176,2141,1599,1524,10702
4/8/20,04 - 05,2262,3193,2184,1601,1531,10771
4/8/20,05 - 06,2304,3221,2250,1596,1537,10909
4/8/20,06 - 07,2616,3366,2313,1593,1596,11484
4/8/20,07 - 08,2930,3564,2418,1643,1697,12251
4/8/20,08 - 09,3107,3712,2575,1718,1752,12863
4/8/20,09 - 10,3173,3740,2668,1746,1783,13110
4/8/20,10 - 11,3190,3755,2557,1787,1803,13092
4/8/20,11 - 12,3190,3778,2662,1768,1786,13184
4/8/20,12 - 13,3182,3693,2752,1736,1793,13156
4/8/20,13 - 14,3176,3703,2688,1777,1843,13187
4/8/20,14 - 15,3133,3715,2583,1782,1844,13057
4/8/20,15 - 16,3120,3666,2585,1797,1777,12945
4/8/20,16 - 17,3109,3649,2571,1777,1772,12877
4/8/20,17 - 18,3100,3634,2574,1759,1764,12830
4/8/20,18 - 19,3062,3641,2594,1759,1729,12784
4/8/20,19 - 20,2985,3609,2535,1768,1723,12619
4/8/20,20 - 21,2968,3538,2529,1823,1721,12579
4/8/20,21 - 22,2960,3517,2486,1820,1718,12501
4/8/20,22 - 23,2931,3460,2468,1799,1689,12346
4/8/20,23 - 00,2709,3338,2389,1783,1648,11866
5/8/20,00 - 01,2537,3283,2333,1689,1594,11435
5/8/20,01 - 02,2384,3216,2238,1699,1565,11102
5/8/20,02 - 03,2296,3094,2290,1675,1541,10895
5/8/20,03 - 04,2261,3145,2256,1649,1526,10836
5/8/20,04 - 05,2271,3238,2253,1606,1525,10892
5/8/20,05 - 06,2321,3265,2313,1615,1534,11047
5/8/20,06 - 07,2591,3447,2241,1688,1577,11543
5/8/20,07 - 08,2958,3631,2381,1771,1672,12413
5/8/20,08 - 09,3179,3748,2501,1787,1724,12939
5/8/20,09 - 10,3290,3829,2576,1802,1731,13227
5/8/20,10 - 11,3370,3880,2597,1845,1768,13460
5/8/20,11 - 12,3416,3943,2558,1846,1783,13546
5/8/20,12 - 13,3453,3938,2550,1834,1801,13575
5/8/20,13 - 14,3431,3920,2597,1846,1768,13563
5/8/20,14 - 15,3405,3927,2657,1840,1814,13643
5/8/20,15 - 16,3408,3742,2742,1835,1765,13491
5/8/20,16 - 17,3443,3609,2771,1831,1811,13465
5/8/20,17 - 18,3423,3683,2675,1845,1766,13392
5/8/20,18 - 19,3352,3698,2653,1793,1747,13242
5/8/20,19 - 20,3268,3674,2637,1784,1746,13109
5/8/20,20 - 21,3187,3603,2541,1793,1731,12855
5/8/20,21 - 22,3099,3619,2484,1810,1710,12722
5/8/20,22 - 23,2995,3575,2521,1788,1680,12558
5/8/20,23 - 00,2767,3414,2468,1776,1615,12039
6/8/20,00 - 01,2549,3191,2350,1730,1566,11386
6/8/20,01 - 02,2404,3171,2259,1692,1530,11056
6/8/20,02 - 03,2303,3067,2230,1671,1506,10777
6/8/20,03 - 04,2258,3107,2271,1657,1500,10793
6/8/20,04 - 05,2261,3166,2251,1633,1512,10823
6/8/20,05 - 06,2309,3194,2295,1656,1506,10961
6/8/20,06 - 07,2597,3327,2385,1666,1588,11562
6/8/20,07 - 08,2945,3538,2521,1748,1670,12423
6/8/20,08 - 09,3129,3660,2599,1808,1732,12927
6/8/20,09 - 10,3216,3963,2592,1833,1756,13360
6/8/20,10 - 11,3269,3798,2618,1840,1761,13285
6/8/20,11 - 12,3278,3735,2676,1792,1762,13244
6/8/20,12 - 13,3303,3675,2679,1860,1747,13263
