,Hours,NO1,NO2,NO3,NO4,NO5,NO,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
3/1/20,22 - 23,5037,4727,3549,2407,2177,17897,Stavanger,58.969976,5.733107,5.04,-5.2,3.89,6.11,1004,70,11.8,270,40
3/1/20,23 - 00,4844,4607,3470,2382,2127,17430,Stavanger,58.969976,5.733107,4.65,-2.33,3.33,6.11,1004,86,7.7,270,75
4/1/20,00 - 01,4691,4478,3443,2251,2101,16964,Stavanger,58.969976,5.733107,4.65,-2.33,3.33,6.11,1004,86,7.7,270,75
4/1/20,01 - 02,4534,4433,3426,2272,2067,16732,Stavanger,58.969976,5.733107,4.65,-2.33,3.33,6.11,1004,86,7.7,270,75
4/1/20,02 - 03,4460,4425,3381,2382,2030,16678,Stavanger,58.969976,5.733107,4.24,-9.13,3.44,5,1003,80,16.5,280,40
4/1/20,03 - 04,4390,4424,3363,2314,2010,16501,Stavanger,58.969976,5.733107,4.03,-6.85,2.74,5,1004,80,12.9,270,75
4/1/20,04 - 05,4399,4422,3434,2311,2016,16582,Stavanger,58.969976,5.733107,2.69,-10.31,2,3.94,1005,87,15.9,310,75
4/1/20,05 - 06,4437,4414,3406,2360,2030,16648,Stavanger,58.969976,5.733107,2.74,-5.66,1.11,3.89,1006,86,9.3,320,75
4/1/20,06 - 07,4570,4474,3411,2468,2025,16948,Stavanger,58.969976,5.733107,2.74,-5.66,1.11,3.89,1006,86,9.3,320,75
4/1/20,07 - 08,4764,4572,3552,2501,2077,17466,Stavanger,58.969976,5.733107,2.6,-11.18,1.11,4,1007,73,16.5,300,75
4/1/20,08 - 09,4993,4735,3651,2516,2147,18041,Stavanger,58.969976,5.733107,1.86,-10.14,0.56,3.24,1007,75,13.9,300,75
4/1/20,09 - 10,5246,4902,3760,2505,2219,18633,Stavanger,58.969976,5.733107,2.25,-8.26,0.56,3.89,1007,74,11.8,330,75
4/1/20,10 - 11,5384,5004,3780,2485,2274,18926,Stavanger,58.969976,5.733107,2.91,-8.88,1.12,4,1007,64,13.4,310,75
4/1/20,11 - 12,5399,4991,3759,2528,2295,18970,Stavanger,58.969976,5.733107,3.32,-8.53,0.99,5,1007,60,13.4,310,90
4/1/20,12 - 13,5306,4902,3763,2574,2281,18825,Stavanger,58.969976,5.733107,3.19,-10.2,1.11,4,1007,55,15.4,300,20
4/1/20,13 - 14,5243,4903,3734,2755,2270,18906,Stavanger,58.969976,5.733107,3.12,-6.58,1.45,4,1008,60,10.3,330,20
4/1/20,14 - 15,5239,4886,3697,2584,2257,18663,Stavanger,58.969976,5.733107,2.77,-8.52,1.6,4,1009,85,13.4,320,75
4/1/20,15 - 16,5400,4881,3842,2630,2278,19031,Stavanger,58.969976,5.733107,2.45,-5.57,1.11,4,1010,86,8.7,310,75
4/1/20,16 - 17,5685,5049,3773,2634,2317,19458,Stavanger,58.969976,5.733107,2.98,-3.94,1.11,5,1012,85,7.2,320,40
4/1/20,17 - 18,5760,5191,3818,2641,2368,19778,Stavanger,58.969976,5.733107,3.23,-6.81,1.67,5,1014,60,10.8,330,40
4/1/20,18 - 19,5725,5191,3775,2623,2343,19656,Stavanger,58.969976,5.733107,2.88,-4.5,1.11,4,1015,81,7.7,330,40
4/1/20,19 - 20,5602,5039,3746,2576,2366,19329,Stavanger,58.969976,5.733107,3.11,-4.19,2.22,4.44,1017,69,7.2,340,20
4/1/20,20 - 21,5407,4816,3700,2541,2283,18747,Stavanger,58.969976,5.733107,2.98,-5.24,1.67,4.04,1018,75,8.7,340,40
4/1/20,21 - 22,5273,4693,3440,2474,2227,18106,Stavanger,58.969976,5.733107,2.99,-4.9,1.67,4.12,1019,74,8.2,350,40
4/1/20,22 - 23,5185,4614,3498,2466,2189,17952,Stavanger,58.969976,5.733107,3.68,-3.02,2.22,5,1020,76,6.7,340,40
4/1/20,23 - 00,5036,4561,3527,2504,2180,17808,Stavanger,58.969976,5.733107,2.75,-3,1.67,4,1021,74,5.1,340,40
5/1/20,00 - 01,4837,4611,3419,2430,2131,17428,Stavanger,58.969976,5.733107,2.26,-2.51,1.11,3.77,1022,74,3.6,10,40
5/1/20,01 - 02,4663,4510,3356,2403,2089,17021,Stavanger,58.969976,5.733107,1.96,-2.14,0.56,3.62,1023,74,2.6,360,40
5/1/20,02 - 03,4599,4480,3265,2330,2048,16722,Stavanger,58.969976,5.733107,1.82,-1.13,0,3.39,1024,76,1,360,40
5/1/20,03 - 04,4627,4388,3164,2355,2007,16541,Stavanger,58.969976,5.733107,1.32,-1.12,0,3.28,1024,86,0.5,200,75
5/1/20,04 - 05,4620,4380,3256,2351,2039,16647,Stavanger,58.969976,5.733107,1.98,-2.7,-0.09,3.89,1025,79,3.6,160,90
5/1/20,05 - 06,4621,4385,3183,2393,2045,16626,Stavanger,58.969976,5.733107,2.08,-1.84,-0.12,3.89,1025,81,2.6,160,90
5/1/20,06 - 07,4653,4419,3137,2418,2076,16703,Stavanger,58.969976,5.733107,2.39,-1.03,-0.01,5.56,1025,68,1.5,130,75
5/1/20,07 - 08,4749,4515,3240,2471,2094,17069,Stavanger,58.969976,5.733107,1.38,-2.53,-0.14,3.33,1025,86,2.6,110,75
5/1/20,08 - 09,4980,4627,3264,2394,2171,17436,Stavanger,58.969976,5.733107,1.92,-3,-0.22,5.56,1025,69,3.6,130,0
5/1/20,09 - 10,5187,4743,3454,2446,2220,18050,Stavanger,58.969976,5.733107,1.95,-2.93,-0.66,5.56,1024,86,4.1,130,75
5/1/20,10 - 11,5507,4789,3579,2480,2265,18620,Stavanger,58.969976,5.733107,2.56,-2.37,-0.02,5.56,1023,80,4.1,130,75
5/1/20,11 - 12,5628,4785,3644,2507,2291,18855,Stavanger,58.969976,5.733107,2.61,-1.62,0.24,5,1023,80,3.1,130,75
5/1/20,12 - 13,5666,4764,3641,2484,2264,18819,Stavanger,58.969976,5.733107,2.5,-2.37,0.32,5.56,1022,83,4.1,120,75
5/1/20,13 - 14,5618,4757,3608,2562,2262,18807,Stavanger,58.969976,5.733107,2.51,-3.59,0.31,4.44,1021,93,6.2,140,75
5/1/20,14 - 15,5577,4740,3558,2583,2257,18715,Stavanger,58.969976,5.733107,3.25,-3.07,0.66,5.56,1020,93,6.7,160,75
5/1/20,15 - 16,5619,4736,3629,2625,2245,18854,Stavanger,58.969976,5.733107,3.62,-2.81,1.36,5.1,1020,100,7.2,150,75
5/1/20,16 - 17,5691,4910,3718,2631,2263,19213,Stavanger,58.969976,5.733107,3.62,-2.81,1.36,5.1,1020,100,7.2,150,75
5/1/20,17 - 18,5597,4949,3692,2616,2231,19085,Stavanger,58.969976,5.733107,5.13,-0.51,2.08,7.78,1020,93,6.2,150,75
5/1/20,18 - 19,5498,4828,3575,2585,2217,18704,Stavanger,58.969976,5.733107,5.13,-0.51,2.08,7.78,1020,93,6.2,150,75
